100charCRDT	500charCRDT	1000charCRDT	2000charCRDT	5000charCRDT	10000charCRDT
344712	604432	828552	1089256	1977744	3591424
257816	628920	828096	1089584	1993832	3586272
269808	629808	827728	1088552	1996160	3592144
276448	605040	826112	1091656	1979480	3569928
260624	623456	821768	1086560	1974360	3584448
327392	627104	823136	1087368	1999072	3589024
332176	625464	824632	1089056	1977896	3591392
317264	620072	822576	1086616	1978704	3578280
262504	581512	827008	1090704	1979480	3572296
311600	607376	825200	1088552	1996680	3591392
250472	628792	846448	1091744	1993696	3589024
365264	649392	862640	1110368	1992176	3603912
369480	598320	846152	1109208	1992928	3581808
319104	652912	845400	1112472	2005832	3600648
368728	645248	850392	1112304	2002368	3601616
377784	653416	837560	1115160	1990608	3600584
312480	597360	846120	1108352	2007344	3583952
384088	669056	844912	1112344	1999096	3596216
377344	650824	859864	1112616	1992200	3598184
324672	627296	864032	1110400	1991560	3598312
401272	646944	848736	1107128	1990504	3606696
366880	651288	838152	1107184	1992960	3584568
419776	596616	831712	1092704	1974416	3594760
423768	612688	853608	1089256	1975440	3592392
437000	614752	829968	1092704	1971688	3589696
384128	613520	828984	1089328	1993192	3573352
456376	623232	838104	1091144	1997912	3567720
433688	628536	828912	1093496	1976000	3593368
423296	551256	837552	1093312	1976032	3589664
441896	637368	838816	1091432	1973632	3594064
372880	588416	851072	1092736	1998176	3592424
426168	590792	835712	1091088	1976056	3591640
374744	634312	828280	1092520	1976784	3573320
	653992	842608	1107232	2005456	3609048
	651752	839056	1107992	2008104	3605144
	676216	839848	1109528	1994144	3603136
	677464	841856	1106464	2001808	3592040
	655120	839832	1108440	2006192	3603400
	656944	844168	1108472	2003376	3610320
	605784	847600	1107256	2005448	3610840
	634480	839344	1112424	2003480	3587952
	668424	839880	1104720	2002472	3585368
	668040	840784	1112368	2006240	3605104
	651984	861848	1108960	2009288	3606176

