100charOT	500charOT	1000charOT	2000charOT	5000charOT	10000charOT
2334920	3509072	3200992	5549304	11571160	15026800
2388344	3512600	5124632	5318272	11450296	14981928
2340064	3513952	4804736	5388160	11404072	15073240
2351824	3515264	4730504	5753536	8096560	12703640
2375592	3459616	3833912	4706264	11753608	12797152
2360952	3543952	5006736	5119896	11395832	13235792
2339664	3485376	4851344	4662896	11654664	12591704
2395992	3525400	3201248	5371592	11699016	12766264
2348152	3493312	3201544	5667840	11558832	12743704
2345816	3545432	4646400	5846312	11540232	12760488
2329712	3503024	3214096	5054776	11379384	15076736

