10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
42	43	4	16	16
3	44	53	70	82
4	44	17	69	79
3	43	9	53	73
2	43	29	51	70
4	44	10	44	64
3	43	37	48	51
3	42	10	44	50
4	44	47	41	44
2	45	8	35	38
2	45	45	30	99
2	45	7	66	89
1	45	46	65	65
2	43	9	60	62
4	44	46	50	55
3	44	9	47	49
2	43	47	46	47
3	45	6	41	40
2	43	49	39	93
4	46	5	37	87
5	47	47	35	81
1	44	5	60	76
4	46	51	56	63
3	44	8	51	55
4	45	48	43	46
4	46	8	40	38
3	45	48	9	37
6	42	9	51	31
4	44	50	48	29
4	44	6	44	99
2	44	48	35	89
3	44	7	15	75
3	45	47	3	72
2	44	9	50	65
1	46	46	47	59
3	44	8	41	56
2	43	48	18	54
2	44	8	5	38
3	39	48	52	81
2	39	7	48	75
3	46	48	43	69
5	43	58	22	63
2	42	49	5	55
2	42	11	49	50
6	46	46	45	44
3	45	9	44	38
3	45	48	24	36
2	45	14	7	34
3	45	47	55	26
1	45	9	49	90
3	45	47	44	73
2	45	10	28	58
2	45	48	56	53
4	44	11	50	49
4	44	47	46	46
3	42	10	43	41
1	46	47	31	36
4	43	8	4	26
4	46	48	54	20
4	44	8	49	71
3	44	48	48	64
3	43	6	36	55
3	47	48	10	52
7	46	4	45	46
4	43	48	41	42
4	46	7	39	39
1	45	47	34	28
3	44	9	10	20
3	45	47	48	19
2	45	9	40	73
2	43	48	38	67
3	44	7	32	59
3	46	47	8	49
3	46	9	46	45
2	44	46	44	42
2	44	8	34	34
4	41	48	29	28
2	43	6	10	23
2	44	49	49	19
3	42	9	46	93
3	45	48	44	83
1	46	8	35	80
2	44	47	10	62
5	44	9	50	57
2	47	47	47	49
5	43	7	42	44
3	45	46	35	36
3	44	6	11	73
5	44	48	51	70
2	47	7	47	51
1	44	47	40	45
3	47	5	32	33
3	47	48	10	26
1	43	8	55	24
3	44	48	53	55
4	44	7	47	53
2	45	48	37	51
5	44	53	16	50
2	45	49	57	41
1	44	52	49	36
4	43	47	44	32
3	45	3	35	27
2	45	48	20	59
5	45	4	11	40
4	45	48	15	35
4	45	5	4	33
2	45	45	45	27
3	44	4	43	25
3	47	48	39	23
2	46	55	37	19
2	44	48	36	18
1	44	54	45	13
2	44	47	41	84
1	45	9	38	70
1	45	47	36	58
1	45	12	36	46
6	44	45	46	30
2	47	11	42	80
4	44	43	34	72
5	43	7	32	69
4	47	47	28	58
2	46	53	46	55
2	47	42	44	50
2	42	12	36	44
3	43	47	29	39
4	40	10	25	34
2	38	48	41	28
8	44	3	38	23
2	47	47	33	19
3	41	11	33	67
1	43	48	31	64
2	39	8	42	62
2	44	48	39	56
2	41	8	36	46
3	43	48	34	40
2	42	9	32	33
3	43	48	39	27
4	44	9	32	23
2	45	46	30	19
4	46	9	28	66
4	46	47	25	61
2	44	9	42	55
4	46	49	36	47
3	45	13	33	44
4	44	48	31	38
5	45	15	29	33
2	45	17	41	29
4	44	4	36	24
5	45	2	32	16
3	44	13	30	13
3	44	7	28	68
3	45	26	43	64
2	45	25	40	56
3	45	38	37	48
4	47	37	33	40
1	44	46	29	32
2	44	46	44	29
1	44	46	40	25
1	44	43	37	19
4	45	51	35	77
2	47	46	31	71
3	45	47	41	61
3	51	41	35	57
4	46	49	31	53
4	45	45	27	46
5	43	48	22	33
4	45	45	44	23
3	45	47	40	90
2	44	44	39	82
2	42	49	36	76
4	42	45	24	67
8	45	46	41	64
4	44	43	40	57
4	45	47	34	48
4	46	43	31	40
2	44	48	24	33
1	45	46	44	27
3	44	47	42	103
2	44	48	41	95
3	47	44	39	86
4	47	48	24	79
3	44	48	41	77
4	47	47	38	68
3	44	47	35	51
4	44	43	35	40
5	47	41	26	50
3	44	50	41	47
4	45	47	37	41
4	40	52	35	126
4	46	49	34	124
4	44	51	26	120
4	43	46	47	117
4	44	2	44	114
6	46	48	43	102
6	47	51	41	43
2	44	44	27	35
3	44	53	45	33
2	46	46	42	17
4	47	52	38	52
5	45	47	35	49
3	44	58	26	44
4	44	52	44	38
2	46	54	40	36
4	46	46	38	31
4	45	7	35	30
2	44	45	25	28
3	44	6	9	26
2	46	48	5	24
3	44	6	19	58
2	44	48	20	55
2	44	6	5	51
1	44	49	29	46
3	45	4	24	38
4	46	47	16	34
5	45	7	14	28
3	45	48	11	27
4	42	4	28	23
5	44	48	23	21
3	43	6	21	11
4	43	47	18	7
3	44	7	16	59
4	45	49	30	54
4	44	8	26	50
4	46	48	21	47
4	44	6	16	41
2	45	48	14	33
4	45	10	34	31
5	45	43	31	27
4	45	7	29	14
3	44	47	26	65
8	45	9	23	64
4	43	48	34	61
3	44	9	25	50
3	45	47	23	38
2	43	8	21	31
2	45	47	19	30
4	45	6	36	18
4	45	47	31	15
4	44	5	28	58
2	44	48	25	54
2	46	4	22	52
3	45	48	37	48
3	46	7	33	46
4	46	47	32	42
1	45	6	29	35
3	46	47	27	32
4	46	5	34	26
2	44	47	30	22
3	45	6	28	6
3	44	48	27	65
2	44	5	24	63
4	46	47	28	59
3	47	3	22	56
4	43	47	18	53
4	46	3	16	46
