experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59
3324536	3540064	3369576	3842352	3529240	2735040
3328872	3135880	3368768	4226664	3528488	2726400
3325544	3150760	3752360	3853328	3529512	2727720
3320976	3153048	3369696	3849264	3529560	2736968
3152328	3156816	3751296	3836672	3527040	2748032
3172216	3540512	3369576	3851896	3516616	2737752
3169720	3263896	3384088	4152376	3805568	2606968
3015920	3264240	3497712	4147368	3812672	2615960
3527200	3194944	3496576	4138712	3804176	2627448
3557256	3262456	3497064	4153464	3798696	2618504
3555904	3271224	3502632	4150792	3800288	2639296
3554424	3273768	3489176	4074952	3867472	2612624
3040688	3374096	3974624	3989576	3899688	2992344
3041736	3740184	3590304	4080768	3902592	3007208
3070112	3359720	3961456	3989568	3996048	3005992
3037408	3756056	3590240	4077792	3902264	3015000
	3757160	3588048	4081256	3902120	2990904
	3751840	3974664	4079360	3993152	2997776
	3240016	3741904	4026456	3684560	2498960
	3247608	3744920	4024504	3610192	2535400
	3233152	3746632	4024744	3776536	2532224
	3237960	3743280	4024536	3773440	2512688
	3237856	3742144	4021488	3774072	2529952
	3239896	3743120	4028920	3772152	2510496
