1491327179929    join    -1    {"doc":"experiment_1-463963","open":true,"snapshot":null,"type":"text","create":true}
1491327179930    join-ack    -1    {"doc":"experiment_1-463963","create":true,"open":true,"v":0,"serveId":"a3ce689ab3a2cd683130dbaf61b3ec99"}
1491327179935    join    -1    {"doc":"experiment_1-463963","open":true,"snapshot":null,"type":"text","create":true}
1491327179935    join-ack    -1    {"doc":"experiment_1-463963","create":false,"v":0,"snapshot":"","open":true,"serveId":"54850df5b03aab885d9a0239eef625ed"}
1491327179960    join    -1    {"doc":"experiment_1-463963","open":true,"snapshot":null,"type":"text","create":true}
1491327179960    join-ack    -1    {"doc":"experiment_1-463963","create":false,"v":0,"snapshot":"","open":true,"serveId":"f04e245c14ea36cb0bfad8c8c170e145"}
1491327179963    received    a3ce689ab3a2cd683130dbaf61b3ec99    -1    sharejs-op    65    {"op":[{"p":0,"i":"tackling"}],"v":0,"doc":"experiment_1-463963"}
1491327179964    sent    -1    a3ce689ab3a2cd683130dbaf61b3ec99    sharejs-op    7    {"v":0}
1491327179964    sent    -1    54850df5b03aab885d9a0239eef625ed    sharejs-op    109    {"op":[{"p":0,"i":"tackling"}],"v":0,"meta":{"source":"a3ce689ab3a2cd683130dbaf61b3ec99","ts":1491327179964}}
1491327179964    sent    -1    f04e245c14ea36cb0bfad8c8c170e145    sharejs-op    109    {"op":[{"p":0,"i":"tackling"}],"v":0,"meta":{"source":"a3ce689ab3a2cd683130dbaf61b3ec99","ts":1491327179964}}
1491327179977    received    f04e245c14ea36cb0bfad8c8c170e145    -1    sharejs-op    66    {"op":[{"p":0,"i":"coliseums"}],"v":0,"doc":"experiment_1-463963"}
1491327179977    sent    -1    a3ce689ab3a2cd683130dbaf61b3ec99    sharejs-op    110    {"op":[{"i":"coliseums","p":0}],"v":1,"meta":{"source":"f04e245c14ea36cb0bfad8c8c170e145","ts":1491327179977}}
1491327179977    sent    -1    54850df5b03aab885d9a0239eef625ed    sharejs-op    110    {"op":[{"i":"coliseums","p":0}],"v":1,"meta":{"source":"f04e245c14ea36cb0bfad8c8c170e145","ts":1491327179977}}
1491327179978    sent    -1    f04e245c14ea36cb0bfad8c8c170e145    sharejs-op    7    {"v":1}
1491327179979    received    54850df5b03aab885d9a0239eef625ed    -1    sharejs-op    67    {"op":[{"p":0,"i":"freshening"}],"v":0,"doc":"experiment_1-463963"}
1491327179980    sent    -1    54850df5b03aab885d9a0239eef625ed    sharejs-op    7    {"v":2}
1491327179979    sent    -1    a3ce689ab3a2cd683130dbaf61b3ec99    sharejs-op    111    {"op":[{"i":"freshening","p":0}],"v":2,"meta":{"source":"54850df5b03aab885d9a0239eef625ed","ts":1491327179979}}
1491327179979    sent    -1    f04e245c14ea36cb0bfad8c8c170e145    sharejs-op    111    {"op":[{"i":"freshening","p":0}],"v":2,"meta":{"source":"54850df5b03aab885d9a0239eef625ed","ts":1491327179979}}
