experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59
2959472	3027824	2646920	2770256	2793328	2478728
2964400	3023160	2647296	2770192	2788928	2447656
2955960	3025936	2645248	3146624	2788912	2468616
2962568	3026456	2647488	3144696	2787792	2470688
2804824	2630040	2647168	2770760	2785896	2440472
2822272	3021056	3013424	2762928	2789008	2468296
2816872	2774504	2765024	2799392	2877544	2362800
2778608	2776424	2776520	2798280	2877712	2347784
2937088	2690656	2770496	2884056	2884496	2359456
2936320	2687984	2760192	2798864	2879864	2353032
2935976	2764048	2765368	2885584	2792496	2368664
2937240	2762304	2772784	2810648	2878048	2350984
2970656	3246896	2615280	2999360	2978352	2735840
2940088	2861352	2602192	2999672	3029032	2738360
2971040	3232888	2608520	3000328	3024200	2747560
2945704	3244000	2606032	2908648	2933184	2749192
	3245440	2606888	3000544	2932352	2731344
	3245624	2991840	2984920	3027432	2725304
	3005736	3040160	2476512	2769232	2558568
	3018664	3014184	2476592	2781624	2569584
	3016080	3022304	2476576	2777688	2569424
	3015640	3024336	2499704	2766960	2540456
	3030632	3022912	2476512	2780040	2532176
	3015528	3043320	2477048	2781584	2533320
