experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59
2464080	2482280	2431504	2469040	2499144	2265624
2437904	2476592	2436680	2472424	2508128	2276088
2451144	2476448	2428768	2470448	2502128	2276872
2447624	2484416	2432104	2472104	2505752	2301144
1648648	2470664	2428224	2471024	2500904	2294472
1622128	2483616	2428800	2469336	2509136	2296744
1650888	1684216	1689752	1360784	1727032	1559320
1649800	1682344	1689936	1362744	1724496	1563000
1648224	1677808	1690240	1365008	1723888	1555352
1618968	1681816	1690496	1363288	1727520	1568648
1618448	1678496	1692528	1365504	1723088	1579608
1646528	1681120	1691872	1363120	1726224	1581456
2407400	1636544	1674104	1682144	1704256	1549576
2408168	1636416	1675320	1681768	1702304	1570104
2433088	1635416	1676656	1682488	1702624	1569096
2431808	1634752	1676528	1682632	1702000	1560304
	1638560	1676528	1683456	1702904	1548504
	1635096	1673168	1682152	1699328	1565056
	2461384	2427776	2491440	2495288	2301944
	2092080	2427608	2488256	2496640	2320616
	2455688	2429976	2489152	2495904	2292504
	2474128	2427392	2494072	2494656	2322376
	2446912	2427352	2491888	2496760	2297456
	2463976	2429608	2489928	2489816	2305928
