experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59
13886568	17425920	16236944	15541744	15576400	12926880
13542968	17407952	16199712	15187576	16321904	11845856
13325936	17469536	16257648	14836816	18139656	12961976
13483112	17079096	16093472	15201224	15491616	12969880
13728088	17263976	14368432	18111320	16103320	11884256
11995464	17241600	14099744	14920272	16472304	12903720
13537112	15616304	15899848	12681136	13586136	10828232
13592688	15280864	16462648	12790552	15019136	11934552
12358280	17395568	15658064	12486000	13214464	10895952
12214704	17224848	15363624	15218240	13514904	13747008
13612448	17339144	15561800	15605560	15037208	11952848
10766064	15149312	15375848	12580440	15303392	12963128
12831792	14561664	14065232	14005928	15075800	11948472
10727472	12998104	15338416	15525936		
10844816					
