experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59
4848752	8893096	8156344	19278360	13424504	15314232
13000568	8685312	8455640	19045848	11593760	15314016
12750192	8479888	7328672	19480792	19153152	15382344
13254528	8475488	8471736	18449312	12980648	15479088
3394408	8288328	8625752	19624360	7975760	15388768
12587584	8520424	8303040	18855592	18526280	15548952
13048736	8788904	8371960	20440984	8713040	17412176
12789944	8209088	8354504	20235824	21546016	17471640
13408800	8014312	8793488	19868656	7006400	16725976
13500208	8234488	8505648	19487320	13286056	16938712
13159456	8603512	8340760	19547272	6621744	17160776
16116392	11235192	10057440	17003152	12736032	17037392
15788104	11033536	9263400	15755184	11528880	13907128
15775904	6640112	11912512	20703504		
14802992					
