bins	10rqs	20rqs	50rqs	100rqs	200rqs
1.000000	0.220500	0.041500	0.040417	0.011009	0.002342
3.000000	0.536500	0.297500	0.237500	0.067187	0.016833
5.000000	0.213500	0.156500	0.102083	0.056745	0.021370
7.000000	0.020000	0.008500	0.044792	0.058614	0.027280
9.000000	0.006000	0.005500	0.025000	0.057179	0.032787
11.000000	0.000500	0.003500	0.010417	0.053910	0.037727
13.000000	0.001000	0.001500	0.005000	0.053309	0.041112
15.000000	0.000000	0.002000	0.004792	0.047271	0.045356
17.000000	0.000500	0.002500	0.003125	0.047772	0.047149
19.000000	0.000000	0.003000	0.004792	0.044936	0.049473
21.000000	0.000000	0.003500	0.005417	0.045670	0.051101
23.000000	0.000000	0.001500	0.005000	0.042401	0.052108
25.000000	0.000000	0.005000	0.004792	0.042501	0.052876
27.000000	0.000000	0.001500	0.002708	0.040766	0.050443
29.000000	0.000000	0.003000	0.003958	0.036596	0.049436
31.000000	0.000500	0.002000	0.007292	0.034227	0.047772
33.000000	0.000000	0.003000	0.009167	0.031225	0.045155
35.000000	0.000000	0.001000	0.025833	0.027222	0.044917
37.000000	0.000000	0.002000	0.039375	0.025587	0.041240
39.000000	0.000000	0.004500	0.038542	0.025220	0.037965
41.000000	0.000500	0.013500	0.015417	0.023319	0.032220
43.000000	0.000000	0.155500	0.021042	0.022284	0.030134
45.000000	0.000000	0.222500	0.082292	0.024853	0.024938
47.000000	0.000000	0.058000	0.209792	0.033794	0.021315
49.000000	0.000000	0.000000	0.033333	0.017948	0.016522
51.000000	0.000000	0.000500	0.008542	0.010742	0.015003
53.000000	0.000000	0.000500	0.005625	0.008707	0.013228
55.000000	0.000000	0.000000	0.003333	0.005004	0.011527
57.000000	0.000500	0.000500	0.000625	0.002235	0.008489
59.000000	0.000000	0.000000	0.000000	0.000667	0.005837
61.000000	0.000000	0.000000	0.000000	0.000400	0.004647
63.000000	0.000000	0.000000	0.000000	0.000267	0.003659
65.000000	0.000000	0.000000	0.000000	0.000133	0.002287
67.000000	0.000000	0.000000	0.000000	0.000100	0.001830
69.000000	0.000000	0.000000	0.000000	0.000100	0.001628
71.000000	0.000000	0.000000	0.000000	0.000000	0.001336
73.000000	0.000000	0.000000	0.000000	0.000000	0.001189
75.000000	0.000000	0.000000	0.000000	0.000000	0.001098
77.000000	0.000000	0.000000	0.000000	0.000000	0.000970
79.000000	0.000000	0.000000	0.000000	0.000000	0.000878
81.000000	0.000000	0.000000	0.000000	0.000000	0.000714
83.000000	0.000000	0.000000	0.000000	0.000000	0.000695
85.000000	0.000000	0.000000	0.000000	0.000000	0.000585
87.000000	0.000000	0.000000	0.000000	0.000000	0.000494
89.000000	0.000000	0.000000	0.000000	0.000000	0.000549
91.000000	0.000000	0.000000	0.000000	0.000000	0.000329
93.000000	0.000000	0.000000	0.000000	0.000000	0.000238
95.000000	0.000000	0.000000	0.000000	0.000033	0.000329
97.000000	0.000000	0.000000	0.000000	0.000033	0.000220
99.000000	0.000000	0.000000	0.000000	0.000033	0.000329
101.000000	0.000000	0.000000	0.000000	0.000000	0.000329
103.000000	0.000000	0.000000	0.000000	0.000000	0.000274
105.000000	0.000000	0.000000	0.000000	0.000000	0.000110
107.000000	0.000000	0.000000	0.000000	0.000000	0.000110
109.000000	0.000000	0.000000	0.000000	0.000000	0.000110
111.000000	0.000000	0.000000	0.000000	0.000000	0.000110
113.000000	0.000000	0.000000	0.000000	0.000000	0.000201
115.000000	0.000000	0.000000	0.000000	0.000000	0.000055
117.000000	0.000000	0.000000	0.000000	0.000000	0.000091
119.000000	0.000000	0.000000	0.000000	0.000000	0.000091
121.000000	0.000000	0.000000	0.000000	0.000000	0.000128
123.000000	0.000000	0.000000	0.000000	0.000000	0.000128
125.000000	0.000000	0.000000	0.000000	0.000000	0.000110
127.000000	0.000000	0.000000	0.000000	0.000000	0.000091
129.000000	0.000000	0.000000	0.000000	0.000000	0.000073
131.000000	0.000000	0.000000	0.000000	0.000000	0.000055
133.000000	0.000000	0.000000	0.000000	0.000000	0.000073
135.000000	0.000000	0.000000	0.000000	0.000000	0.000018
137.000000	0.000000	0.000000	0.000000	0.000000	0.000000
139.000000	0.000000	0.000000	0.000000	0.000000	0.000018
141.000000	0.000000	0.000000	0.000000	0.000000	0.000000
143.000000	0.000000	0.000000	0.000000	0.000000	0.000000
145.000000	0.000000	0.000000	0.000000	0.000000	0.000000
147.000000	0.000000	0.000000	0.000000	0.000000	0.000000
149.000000	0.000000	0.000000	0.000000	0.000000	0.000000
151.000000	0.000000	0.000000	0.000000	0.000000	0.000000
153.000000	0.000000	0.000000	0.000000	0.000000	0.000018
155.000000	0.000000	0.000000	0.000000	0.000000	0.000000
157.000000	0.000000	0.000000	0.000000	0.000000	0.000000
159.000000	0.000000	0.000000	0.000000	0.000000	0.000000
161.000000	0.000000	0.000000	0.000000	0.000000	0.000000
163.000000	0.000000	0.000000	0.000000	0.000000	0.000018
165.000000	0.000000	0.000000	0.000000	0.000000	0.000000
167.000000	0.000000	0.000000	0.000000	0.000000	0.000000
169.000000	0.000000	0.000000	0.000000	0.000000	0.000000
171.000000	0.000000	0.000000	0.000000	0.000000	0.000000
173.000000	0.000000	0.000000	0.000000	0.000000	0.000000
175.000000	0.000000	0.000000	0.000000	0.000000	0.000018
177.000000	0.000000	0.000000	0.000000	0.000000	0.000000
179.000000	0.000000	0.000000	0.000000	0.000000	0.000000
181.000000	0.000000	0.000000	0.000000	0.000000	0.000000
183.000000	0.000000	0.000000	0.000000	0.000000	0.000018
185.000000	0.000000	0.000000	0.000000	0.000000	0.000000
187.000000	0.000000	0.000000	0.000000	0.000000	0.000018
189.000000	0.000000	0.000000	0.000000	0.000000	0.000018
191.000000	0.000000	0.000000	0.000000	0.000000	0.000018
193.000000	0.000000	0.000000	0.000000	0.000000	0.000018
195.000000	0.000000	0.000000	0.000000	0.000000	0.000018
197.000000	0.000000	0.000000	0.000000	0.000000	0.000000
